"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 09 13:58:58 IST 2024","Tue Apr 09 13:59:07 IST 2024","9402","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Validate the sampling profile when select custom for conductivity residue verification","This test case tests API to Validate the sampling profile when select custom for conductivity residue verification"
"passed","Tue Apr 09 13:28:06 IST 2024","Tue Apr 09 13:28:55 IST 2024","49438","tests.scenarios.multi_production_protocol.inspection","test_multi_production_protocol_inspection_sqcm_l","TestInspectionMultiProductionProtocolSqcml","","","Create Inspection on Equipment & Validate the Bioburden Residue Verification Endotoxin Samplesfor surface area sqcm and volume as l","This test case tests API to create an inspection on equipment and validate the Bioburden residue verification bioburden samples for surface area sqcm and volume as l"
"passed","Tue Apr 09 13:32:26 IST 2024","Tue Apr 09 13:32:28 IST 2024","1362","tests.scenarios.multi_production_protocol.inspection","test_multi_production_protocol_inspection_sqin_l","TestInspectionMultiProductionProtocolSqinl","","","Create Inspection on Equipment & Validate the Nitrosamine Residue Verification Chemical Samplesfor surface area sqin and volume as l","This test case tests API to create an inspection on equipment and validate the nitrosamine residue verification chemical samples for surface area sqin and volume as l"
"passed","Tue Apr 09 14:12:27 IST 2024","Tue Apr 09 14:12:56 IST 2024","29332","tests.scenarios.multi_production_protocol.study","test_study_multi_production_protocol","TestStudyMultiProductionProtocol","","","Create the study from approved protocol","This test case tests API to Create Protocol for multi-production protocol and create the study from approve protocol"
"passed","Tue Apr 09 13:45:39 IST 2024","Tue Apr 09 13:45:51 IST 2024","11962","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Create Protocol and validate active residue verification SAL when surface area unit is sqcm","This test case tests API to Create Protocol and validate active residue verification SAL when surface area unit is sqm and SAL mass unit is mg"
"skipped","Tue Apr 09 12:52:28 IST 2024","Tue Apr 09 12:52:28 IST 2024","0","tests.scenarios.audit_portal","test_audit_portal_formulation_facility","TestAuditPortalLimits","","","Validate master data snapshot report for production and equipment mapping","This test case test API to validate the master data snapshot report for productions and equipment mapping with excel file data"
"failed","Tue Apr 09 14:11:38 IST 2024","Tue Apr 09 14:11:39 IST 2024","1119","tests.scenarios.multi_production_protocol.protocol","test_multi_production_protocol_microbial_policy_absent","TestMicrobialMultiProductionProtocol","","","Validate the sample limits of Bioburden Endotoxin residue verification for when room grade value is zero for swab samples","This test case tests API to Validate the sample limits of Bioburden Endotoxin residue verification for when room grade value is zero for swab samples"
"passed","Tue Apr 09 14:37:42 IST 2024","Tue Apr 09 14:37:42 IST 2024","111","tests.unit.quick_actions","test_add_new_production","TestAddNewProduction","","","Archive Production","This method is used to archive the production"
"passed","Tue Apr 09 13:45:27 IST 2024","Tue Apr 09 13:45:31 IST 2024","3516","tests.scenarios.multi_production_protocol.protocol","test_multi_prodcution_protocol","TestMultiProductionProtocol","","","Select Lowest SAL amongst the selected custom direct and based on policy indirect","This test case tests API to Select Lowest SAL amongst the selected custom direct and based on policy indirect"
"passed","Tue Apr 09 13:08:08 IST 2024","Tue Apr 09 13:08:18 IST 2024","9810","tests.scenarios","test_nitrosamine_limits","TestNitrosamineLimit","","","Test Nitrosamine SAL","This test case test the Nitrosamine sal from list of Production when SalMassUnit is ug"
